epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3524,1.61567,1.83671,1.11673,0.8731,0.7855,0.86116,0.45896,1.51647,1.37556,1.09202,0.000662005,0.000662005,0.000662005
2,96.096,1.51372,1.15956,1.09652,0.84426,0.78942,0.86574,0.50482,1.44438,1.04023,1.04942,0.00130236,0.00130236,0.00130236
3,142.871,1.49006,1.01928,1.08557,0.89235,0.76983,0.86682,0.50512,1.42014,0.90001,1.05051,0.00191632,0.00191632,0.00191632
4,189.329,1.40165,0.85268,1.06639,0.85951,0.78452,0.8574,0.51245,1.43964,0.86863,1.07543,0.0018812,0.0018812,0.0018812
5,235.864,1.36404,0.78504,1.05648,0.90179,0.76446,0.87948,0.50893,1.46442,0.81167,1.07098,0.0018416,0.0018416,0.0018416
6,282.371,1.35301,0.73676,1.05608,0.92694,0.8237,0.90646,0.56293,1.34964,0.69478,1.07476,0.001802,0.001802,0.001802
7,328.977,1.32065,0.6983,1.04768,0.93328,0.81881,0.89993,0.55595,1.3141,0.68482,1.02468,0.0017624,0.0017624,0.0017624
8,379.547,1.2924,0.6807,1.03831,0.95905,0.83448,0.9132,0.57589,1.31417,0.64123,1.04136,0.0017228,0.0017228,0.0017228
9,428.304,1.27179,0.65162,1.03047,0.9519,0.85113,0.93083,0.59829,1.29157,0.624,1.02768,0.0016832,0.0016832,0.0016832
10,477.28,1.26303,0.64428,1.03501,0.93821,0.83154,0.92166,0.60143,1.25021,0.63413,1.01198,0.0016436,0.0016436,0.0016436
11,526.305,1.2219,0.63636,1.01172,0.95853,0.83764,0.90437,0.57203,1.27191,0.62726,1.03362,0.001604,0.001604,0.001604
12,575.205,1.23852,0.64256,1.01078,0.9566,0.85211,0.93082,0.59325,1.26557,0.60754,1.01233,0.0015644,0.0015644,0.0015644
13,623.983,1.20796,0.61562,1.00769,0.97057,0.83839,0.92869,0.6003,1.24851,0.58976,1.01271,0.0015248,0.0015248,0.0015248
14,672.817,1.21361,0.6007,1.00094,0.96005,0.84231,0.93963,0.61823,1.26153,0.59843,1.01482,0.0014852,0.0014852,0.0014852
15,721.761,1.17145,0.59005,0.9965,0.96434,0.8668,0.93856,0.62648,1.24538,0.58363,1.01809,0.0014456,0.0014456,0.0014456
